Temporada,Time_casa,Time_visitante,Placar_mand,Placar_visit,Result_mand,Ranking_mand,Ranking_visit,Valor_mand,Valor_visit,Taxa_gols_mand,Taxa_gols_visit,Vitorias_mand,Derrotas_mand,Empates_mand,Vitorias_visit,Derrotas_visit,Empates_visit,Saldo_gols_mand,Saldo_gols_visit,Aproveitamento_mand,Aproveitamento_visit
2013,Vasco da Gama,Flamengo RJ,0,1,0,15030.0,14352.0,27.2,44.45,1.1428571428571428,1.1428571428571428,2.0,4.0,1.0,2.0,2.0,3.0,-6.0,1.0,0.3333333333333333,0.42857142857142855
2013,Criciúma - SC,Goiás,0,0,1,4370.0,9896.0,15.1,8.65,1.1428571428571428,0.7142857142857143,2.0,4.0,1.0,2.0,2.0,3.0,-5.0,-4.0,0.3333333333333333,0.42857142857142855
2013,Cruzeiro,Náutico - PE,3,0,2,13096.0,8036.0,55.25,14.1,2.142857142857143,0.5714285714285714,3.0,1.0,3.0,1.0,5.0,1.0,8.0,-10.0,0.5714285714285714,0.19047619047619047
2013,Botafogo - RJ,Náutico - PE,2,0,2,10622.0,8036.0,36.0,14.1,1.5,0.5,5.0,2.0,1.0,1.0,6.0,1.0,5.0,-12.0,0.6666666666666666,0.16666666666666666
2013,São Paulo FC,Cruzeiro,0,3,0,14786.0,13096.0,115.8,55.25,1.25,2.25,2.0,4.0,2.0,4.0,1.0,3.0,-1.0,11.0,0.3333333333333333,0.625
2013,Criciúma - SC,Grêmio Porto Alegre,2,1,2,4370.0,14460.0,15.1,77.65,1.25,1.125,3.0,4.0,1.0,3.0,2.0,3.0,-4.0,1.0,0.4166666666666667,0.5
2013,Vitória - BA,Bahia - BA,0,0,1,9900.0,9282.0,17.88,24.05,1.625,0.75,4.0,2.0,2.0,2.0,2.0,4.0,5.0,-2.0,0.5833333333333334,0.4166666666666667
2013,Internacional,Flamengo RJ,1,0,2,14360.0,14352.0,62.3,44.45,2.125,1.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0,0.0,0.625,0.375
2013,Athletico Paranaense,Corinthians SP,1,1,1,11078.0,15624.0,15.85,84.55,1.625,0.75,1.0,3.0,4.0,2.0,2.0,4.0,-2.0,1.0,0.2916666666666667,0.4166666666666667
2013,Santos FC,Coritiba FC,2,2,1,13736.0,12804.0,103.75,31.4,1.5,1.375,3.0,2.0,3.0,4.0,0.0,4.0,3.0,4.0,0.5,0.6666666666666666
2013,Fluminense RJ,Vasco da Gama,1,3,0,16208.0,15030.0,68.15,27.2,1.5,1.375,3.0,5.0,0.0,3.0,4.0,1.0,-1.0,-4.0,0.375,0.4166666666666667
2013,Goiás,Portuguesa - SP,2,1,2,9896.0,7840.0,8.65,16.5,0.875,1.0,3.0,2.0,3.0,1.0,3.0,4.0,-3.0,-4.0,0.5,0.2916666666666667
2013,Atlético Mineiro,Ponte Preta,4,0,2,11520.0,7600.0,46.1,13.78,1.375,1.0,4.0,3.0,1.0,2.0,5.0,1.0,4.0,-6.0,0.5416666666666666,0.2916666666666667
2013,Vasco da Gama,Criciúma - SC,3,2,2,15030.0,4370.0,27.2,15.1,1.5555555555555556,1.3333333333333333,4.0,4.0,1.0,3.0,5.0,1.0,-3.0,-5.0,0.48148148148148145,0.37037037037037035
2013,Portuguesa - SP,Athletico Paranaense,2,3,0,7840.0,11078.0,16.5,15.85,1.1111111111111112,1.7777777777777777,1.0,4.0,4.0,2.0,3.0,4.0,-5.0,-1.0,0.25925925925925924,0.37037037037037035
2013,Ponte Preta,Santos FC,1,0,2,7600.0,13736.0,13.78,103.75,1.0,1.3333333333333333,3.0,5.0,1.0,3.0,3.0,3.0,-5.0,2.0,0.37037037037037035,0.4444444444444444
2013,Corinthians SP,São Paulo FC,0,0,1,15624.0,14786.0,84.55,115.8,0.6666666666666666,1.1111111111111112,2.0,2.0,5.0,2.0,4.0,3.0,1.0,-1.0,0.4074074074074074,0.3333333333333333
2013,Grêmio Porto Alegre,Fluminense RJ,2,0,2,14460.0,16208.0,77.65,68.15,1.2222222222222223,1.3333333333333333,4.0,2.0,3.0,3.0,6.0,0.0,3.0,-3.0,0.5555555555555556,0.3333333333333333
2013,Náutico - PE,Internacional,3,0,2,8036.0,14360.0,14.1,62.3,0.7777777777777778,1.8888888888888888,2.0,6.0,1.0,4.0,2.0,3.0,-9.0,2.0,0.25925925925925924,0.5555555555555556
2013,Cruzeiro,Atlético Mineiro,4,1,2,13096.0,11520.0,55.25,46.1,2.4444444444444446,1.3333333333333333,5.0,1.0,3.0,4.0,4.0,1.0,14.0,1.0,0.6666666666666666,0.48148148148148145
2013,Flamengo RJ,Botafogo - RJ,1,1,1,14352.0,10622.0,44.45,36.0,1.0,1.4444444444444444,2.0,3.0,4.0,5.0,2.0,2.0,0.0,5.0,0.37037037037037035,0.6296296296296297
2013,Bahia - BA,Goiás,2,1,2,9282.0,9896.0,24.05,8.65,0.8888888888888888,0.8888888888888888,3.0,2.0,4.0,3.0,3.0,3.0,-1.0,-4.0,0.48148148148148145,0.4444444444444444
2013,Coritiba FC,Vitória - BA,1,1,1,12804.0,9900.0,31.4,17.88,1.3333333333333333,1.5555555555555556,4.0,0.0,5.0,4.0,2.0,3.0,4.0,5.0,0.6296296296296297,0.5555555555555556
2013,Fluminense RJ,Cruzeiro,1,0,2,16208.0,13096.0,68.15,55.25,1.3,2.2,4.0,6.0,0.0,5.0,2.0,3.0,-2.0,13.0,0.4,0.6
2013,Atlético Mineiro,Athletico Paranaense,1,2,0,11520.0,11078.0,46.1,15.85,1.3,1.8,4.0,5.0,1.0,3.0,3.0,4.0,0.0,0.0,0.43333333333333335,0.43333333333333335
2013,Portuguesa - SP,Criciúma - SC,1,1,1,7840.0,4370.0,16.5,15.1,1.1,1.3,1.0,4.0,5.0,3.0,5.0,2.0,-5.0,-5.0,0.26666666666666666,0.36666666666666664
2013,Coritiba FC,Ponte Preta,5,3,2,12804.0,7600.0,31.4,13.78,1.7,1.2,5.0,0.0,5.0,3.0,6.0,1.0,6.0,-7.0,0.6666666666666666,0.3333333333333333
2013,Corinthians SP,Grêmio Porto Alegre,2,0,2,15624.0,14460.0,84.55,77.65,0.8,1.1,3.0,2.0,5.0,4.0,3.0,3.0,3.0,1.0,0.4666666666666667,0.5
2013,Bahia - BA,Flamengo RJ,3,0,2,9282.0,14352.0,24.05,44.45,1.1,0.9,4.0,2.0,4.0,2.0,4.0,4.0,2.0,-3.0,0.5333333333333333,0.3333333333333333
2013,Botafogo - RJ,Vitória - BA,2,0,2,10622.0,9900.0,36.0,17.88,1.5,1.4,6.0,2.0,2.0,4.0,3.0,3.0,7.0,3.0,0.6666666666666666,0.5
